lam,0,1,2,3,4,5,6,7
0.0,-8548.378712706575,-12362.987727724501,-9662.821353671758,-2582.7079850126947,-8143.222577985367,-8184.029299357132,-8771.607853505539,738268.7365478824
0.05,-8548.378712706575,-12083.92352482322,-9288.770743483783,-1908.2075372717434,-7898.948686939319,-7845.218532356798,-8541.048238259502,746208.6076228414
0.1,-8548.378712706575,-11803.957472895858,-8937.559397574507,-1322.9557729719365,-7436.863948827223,-7669.634057804141,-8139.413989374032,741969.448347298
0.2,-8548.378712706575,-11234.908518878883,-8273.32886524392,-436.30388276508734,-7203.522797819018,-6921.815241460979,-7697.679656822295,745700.233598461
0.3,-8548.378712706575,-10715.325954305448,-7679.736345028838,115.0659883360291,-6737.1654122532445,-6550.055589961289,-6911.146129711878,718668.749893234
0.4,-8548.378712706575,-10225.946819352594,-7147.481161519907,1149.466433348618,-7290.567884899474,-6607.055000862299,-7008.508434268226,724665.5104039545
0.5,-8548.378712706575,-9653.10376351714,-6764.621551193181,-6133.424709929167,-4147.4161362538825,-5369.900675863716,-6734.885790166864,723424.7986673277
0.6,-8548.378712706575,-9110.776813503839,-6634.250977797552,-5725.336110817758,-3925.7042703852453,-5494.705741003886,-6508.402051429346,700333.1203473111
0.7,-8548.378712706575,-8568.473531059963,-6221.437826948074,-5517.858215095561,-3445.3372614391365,-5228.103462557359,-6383.9525944501565,696694.4775843543
0.8,-8548.378712706575,-8016.69539873427,-5854.946362916305,-4977.99844606632,-3400.489246889469,-5086.731728316335,-6722.504158357445,699769.0260552318
0.9,-8548.378712706575,-7454.471423936846,-5255.676736620229,-5383.224293034817,-1187.045972392565,-3106.7264314756776,-6436.307326981484,702718.3003983579
0.95,-8548.378712706575,-7242.598180671008,-5085.4086728386255,-5470.764576001074,-1476.2481160700072,-4211.800295660086,-6885.713874307266,706112.5856089975
1.0,-8548.378712706575,-7020.120452719592,-4966.565175606717,-5438.837516699588,-1437.010711396745,-4262.304862152432,-7126.710916198428,692738.451360842
1.5,-8548.378712706575,-5212.466826435206,-4009.14486883062,-4373.761124707008,971.822125380038,-4753.6677186257975,-4321.789555286158,581680.0397707025
2.0,-8548.378712706575,-2825.1166654110248,-4668.168942670409,-1420.4729507577065,1234.2534051129128,-3705.9669839387943,-4723.661356500397,546676.3404485165
3.0,-8548.378712706575,634.3927274114271,-10348.042922548126,12456.885662939729,-6170.737083897155,-6385.475623569454,-12662.666392431822,663424.7559490383
5.0,-8548.378712706575,7778.579369053749,-12587.849854384538,38730.80479689232,-6814.262601257744,-9578.607560466444,-7413.893560144281,670801.7966631389
10.0,-8548.378712706575,23291.870251327917,-12242.387753018998,-6110.518903938972,-8544.756000888072,-20088.163819574133,-2932.6940771651,295745.04644552874
50.0,-8548.378712706575,185364.47142148516,8848.146600033688,-17478.968213397184,238392.2520751174,-23079.29111862565,-23982.59645267506,1162161.2902272511
100.0,-8548.378712706575,387858.50347121863,39415.860434053626,-17478.99086551557,490094.38424260425,-23162.03001925187,-23828.42034524357,1790797.4044782147
